PDB,VINA,GlideSP,DSX,RFScore,HMS,Experimental
1yqj,-12.38448,-11.08,-159.255,-9.88565758357,-12.19909582,-11.24582559
1g54,-6.39968,-6.09,-88.449,-10.1734992824,-8.109704698,-12.18528031
1g53,-6.76869,-6.69,-90.997,-9.79902134918,-8.634694099,-12.48922154
1g52,-6.8083,-7.04,-89.464,-10.281793083,-8.634694099,-13.17999707
1yqy,-8.41868,-5.81,-135.444,-8.93724958112,-9.17349901,-10.52741905
1kc7,-2.9348,-6.53,-40.323,-5.03128090271,-7.087356916,-7.626161828
1d7i,-1.72013,-5.37,-26.794,-7.86154054263,-5.843960966,-4.973583801
1ogg,-8.48887,-10.62,-149.205,-8.73265290189,-9.1596835,-7.17024998
1pgp,-5.6944,-7.49,-77.592,-6.36571933358,-7.446560191,-7.874841018
1yc1,-10.65986,-10.13,-122.24,-8.95003036411,-10.03006067,-8.524170014
1a9m,-8.26766,-11.46,-207.676,-9.37099260432,-10.62412762,-9.560333306
1hii,-9.93818,-12.92,-228.709,-9.59165315726,-12.66882318,-10.05769169
1yc4,-7.95153,-8.89,-89.558,-9.74238311589,-8.759033694,-9.049159416
1hn2,-9.67598,-8.06,-91.673,-8.36565379343,-9.491255753,-8.289306335
2er6,-9.11891,-13.3,-254.155,-11.0234960979,-13.26289014,-9.974798623
1ez9,-5.80204,-8.18,-132.535,-7.88520265173,-7.722870402,-7.045910385
2aoc,-8.13689,-14.37,-245.526,-9.48008670701,-12.0333097,-6.755784663
2hu6,-9.23191,-8.21,-148.861,-9.59257192642,-9.353100648,-5.263709523
2aog,-8.62212,-15.24,-258.137,-8.8671050636,-12.64119216,-8.67614063
1j14,-5.33278,-8.26,-70.448,-6.34805624957,-7.004463853,-6.203164241
1ik4,-4.88529,-7.42,-71.297,-7.50036674218,-7.349851617,-10.23729332
2ca8,-5.69893,-7.58,-106.314,-8.95506184341,-7.612346317,-6.43802792
1str,-6.99784,-11.62,-147.168,-9.64342632954,-9.463624732,-6.589998536
1sts,-7.84696,-11.71,-183.896,-9.69133505868,-10.40307945,-6.907755279
1qhc,-8.74689,-11.61,-191.533,-8.64267689385,-9.284023095,-10.45834149
1f9g,-4.57793,-4.31,-26.399,-5.52896240878,-6.424212409,-1.768385351
1w4o,-6.59618,-10.37,-107.969,-5.55368812123,-8.040627145,-7.211696511
1v2r,-7.14249,-9.81,-131.651,-9.77795430008,-8.330752866,-4.904506248
1vyf,-6.04276,-6.57,-114.357,-9.61884034903,-9.132052479,-11.121486
1vyg,-6.91459,-10.7,-140.744,-9.80043692186,-9.615595348,-11.05240845
1upf,-4.60898,-7.11,-36.443,-7.05030241102,-6.382765878,-6.355134857
1caq,-10.29883,-7.16,-200.977,-10.2511387676,-11.37016519,-10.66557415
1o36,-0.68022,-8.51,-126.96,-10.209448792,-9.17349901,-8.234044293
1i9m,-5.75682,-6.04,-82.291,-10.3448212842,-8.689956141,-11.71555295
1i9l,-6.10313,-6.41,-83.979,-9.69130641853,-8.634694099,-11.71555295
1i9o,-6.4304,-6.05,-85.219,-9.91377758504,-8.358383888,-11.63265989
1i9n,-6.08423,-5.74,-80.292,-9.43073726518,-8.455092461,-11.96423214
1i9q,-6.33173,-5.88,-86.069,-10.0778116747,-8.372199398,-11.61884438
1i9p,-5.67722,-5.2,-78.118,-9.68849358058,-8.206413271,-11.61884438
1wm1,-7.14026,-6.64,-82.526,-9.30485620248,-8.67614063,-8.703771652
1hnn,-8.33933,-8.2,-73.632,-9.68776987808,-8.192597761,-8.620878588
1hi5,-4.7733,-6.45,-70.847,-7.04835941407,-7.073541406,-5.581466265
1a94,-8.85884,-14.84,-284.139,-9.31513112824,-13.11091952,-10.84517579
1ikt,-7.35595,-8.29,-151.875,-9.66677408527,-9.781381475,-4.69727359
1c70,-11.95572,-13.64,-248.114,-12.4006504028,-13.64972443,-14.22997587
2mas,-9.6755,-7.46,-97.357,-8.97122706853,-9.132052479,-10.38926394
2h4n,-4.9816,-5.27,-46.581,-10.452635226,-7.225512022,-12.01949419
1oe8,-5.49231,-8.52,-103.435,-9.12094717863,-7.377482638,-7.626161828
1mq5,-9.77615,-7.15,-171.826,-9.48762595818,-10.37544843,-12.4339595
1m5w,-5.15874,-6.88,-53.301,-7.3482381447,-7.059725895,-5.899223008
1wvj,-9.84232,-8.95,-111.147,-9.41551671246,-8.938635331,-9.297838606
1gah,-9.14877,-9.91,-191.637,-8.19517598733,-10.61031211,-16.57861267
1t32,-11.13533,-11.37,-173.958,-10.3411599765,-12.93131788,-10.25110883
1ui0,-5.16625,-8.35,-57.519,-6.61272897528,-6.769600173,-9.753750454
1t31,-10.00975,-11.51,-158.864,-10.3633902076,-12.32343542,-11.93660112
1tng,-3.91466,-6.79,-68.681,-5.64093350753,-6.631445068,-4.047944594
1tnl,-4.29886,-6.05,-73.137,-6.32209953476,-7.073541406,-2.597315985
1tnk,-3.83896,-6.01,-72.258,-6.34298615257,-6.589998536,-2.058511073
1igj,-9.64407,-7.76,-140.235,-8.83954624325,-11.19056355,-13.81551056
1c87,-7.17452,-10.68,-100.165,-7.38016315739,-8.192597761,-5.802514434
1gu1,-7.56662,-9.57,-80.711,-5.56260163622,-8.289306335,-6.244610772
1utn,-3.99863,-7.14,-64.895,-5.91524612744,-6.68670711,-4.821613185
1gi8,-7.53127,-10.52,-99.366,-9.15046854278,-8.206413271,-6.976832832
2cht,-8.25254,-9.32,-98.074,-6.62032072205,-8.42746144,-7.626161828
2f35,-7.6527,-8.04,-110.125,-8.99872355089,-9.062974926,-7.460375701
1utl,-3.85647,-5.9,-63.674,-6.5941993059,-6.368950367,-3.412431108
1a7x,-12.49152,-13.68,-230.358,-11.6064893303,-13.44249177,-13.40104524
1utm,-4.14114,-7.21,-63.855,-6.28278327008,-6.589998536,-4.158468678
1fm9,-12.95665,-15.5,-223.28,-10.5718266355,-14.49247058,-12.4339595
5abp,-7.15423,-7.32,-64.124,-6.60671870071,-7.722870402,-9.173499011
1b8n,-9.70761,-10.24,-117.787,-10.0818142255,-9.021528394,-14.53391711
1qan,-9.03703,-10.5,-170.768,-8.89235349125,-9.270207584,-6.18934873
1qft,-4.12009,-7.12,-58.342,-7.48081110192,-6.479474452,-12.11620276
1o2h,-8.66576,-8.62,-123.646,-7.23046836728,-8.91100431,-9.90572107
1b8y,-8.57463,-7.72,-171.869,-9.86203135999,-10.00242964,-10.84517579
1sqt,-7.82314,-8.38,-120.111,-9.27600319107,-7.985365103,-8.565616546
2fw6,-5.65125,-8.47,-83.914,-5.28354275256,-7.474191212,-4.034129083
1ws5,-4.93889,-5.98,-65.861,-6.21139679656,-6.700522621,-4.186099699
1eld,-8.56542,-8.12,-150.171,-9.75051408201,-10.27873986,-9.256392074
1ele,-8.28229,-7.89,-146.506,-9.54749377281,-10.15440026,-9.463624732
1elc,-6.29892,-5.67,-142.417,-10.8948614297,-8.689956141,-9.201130032
5yas,-5.34225,-7.09,-45.789,-5.73607222309,-6.741969152,-4.503856442
1ws4,-4.90354,-5.83,-68.134,-5.9572862688,-6.6728916,-4.144653167
2dw7,-4.39668,-5.48,-50.575,-5.84403643968,-7.045910385,-6.493289962
1br6,-7.73005,-8.69,-103.597,-8.95679473606,-9.325469627,-4.4485944
1tx7,-5.91928,-9.5,-83.391,-6.72994663869,-7.529453254,-6.355134857
1sqo,-7.46956,-8.31,-119.186,-9.95182101596,-8.192597761,-10.30637088
1elr,-5.42584,-10.36,-125.799,-8.26534836451,-7.985365103,-6.852493237
2fpz,-6.79475,-5.93,-57.25,-6.79548859812,-7.114987937,-5.470942181
1n3i,-9.45035,-11.58,-117.24,-9.65015822175,-8.607063078,-12.28198889
1hmr,-5.41592,-6.73,-112.796,-9.88935164108,-8.91100431,-9.049159416
1hms,-5.72722,-6.71,-118.634,-9.85516314761,-8.952450842,-8.800480225
1hmt,-5.7128,-6.58,-117.999,-9.91652914613,-9.353100648,-7.999180613
